date,price,day,day_of_week,month,lag_1,lag_2,lag_3,lag_7
2026-04-25 03:01:10.721,77632.1049866153,20,5,4,77566.91332664572,77462.08912922682,77444.79563692068,77640.62590796669
2026-04-25 04:01:11.228,77659.99727324375,20,5,4,77632.1049866153,77566.91332664572,77462.08912922682,77743.96821879945
2026-04-25 05:00:26.002,77641.01117283583,20,5,4,77659.99727324375,77632.1049866153,77566.91332664572,77598.4707273492
2026-04-25 06:00:04.040,77526.33855221451,20,5,4,77641.01117283583,77659.99727324375,77632.1049866153,77360.7247577714
2026-04-25 07:01:01.155,77546.29139125944,20,5,4,77526.33855221451,77641.01117283583,77659.99727324375,77444.79563692068
2026-04-25 08:00:27.315,77552.43014091096,20,5,4,77546.29139125944,77526.33855221451,77641.01117283583,77462.08912922682
2026-04-25 09:00:57.268,77633.44423479457,20,5,4,77552.43014091096,77546.29139125944,77526.33855221451,77566.91332664572
2026-04-25 10:00:56.854,77756.29359070981,20,5,4,77633.44423479457,77552.43014091096,77546.29139125944,77632.1049866153
2026-04-25 11:00:49.067,77798.77053029239,20,5,4,77756.29359070981,77633.44423479457,77552.43014091096,77659.99727324375
2026-04-25 12:00:49.060,77681.05139222337,20,5,4,77798.77053029239,77756.29359070981,77633.44423479457,77641.01117283583
2026-04-25 13:00:35.344,77572.56576897178,20,5,4,77681.05139222337,77798.77053029239,77756.29359070981,77526.33855221451
2026-04-25 14:00:59.933,77704.47912526024,20,5,4,77572.56576897178,77681.05139222337,77798.77053029239,77546.29139125944
2026-04-25 15:01:05.720,77666.8630936243,20,5,4,77704.47912526024,77572.56576897178,77681.05139222337,77552.43014091096
2026-04-25 16:00:36.546,77369.37427037527,21,5,4,77666.8630936243,77704.47912526024,77572.56576897178,77633.44423479457
2026-04-25 17:00:12.416,77411.63283414992,21,5,4,77369.37427037527,77666.8630936243,77704.47912526024,77756.29359070981
2026-04-25 18:00:28.307,77268.59468461889,21,5,4,77411.63283414992,77369.37427037527,77666.8630936243,77798.77053029239
2026-04-25 19:00:47.539,77327.62457986774,21,5,4,77268.59468461889,77411.63283414992,77369.37427037527,77681.05139222337
2026-04-25 20:00:31.506,77334.26544839946,21,5,4,77327.62457986774,77268.59468461889,77411.63283414992,77572.56576897178
2026-04-25 21:00:12.443,77485.94368156035,21,5,4,77334.26544839946,77327.62457986774,77268.59468461889,77704.47912526024
2026-04-25 22:00:33.526,77517.55017621993,21,5,4,77485.94368156035,77334.26544839946,77327.62457986774,77666.8630936243
2026-04-25 23:00:26.584,77571.92469081761,21,5,4,77517.55017621993,77485.94368156035,77334.26544839946,77369.37427037527
2026-04-26 00:00:43.793,77619.14219872655,21,6,4,77571.92469081761,77517.55017621993,77485.94368156035,77411.63283414992
